Date,Company,Percentage
Mar 1 2021,Samsung,28.35
Apr 1 2021,Samsung,28.15
May 1 2021,Samsung,27.84
Jun 1 2021,Samsung,27.48
Jul 1 2021,Samsung,27.33
Aug 1 2021,Samsung,27.92
Sep 1 2021,Samsung,27.55
Oct 1 2021,Samsung,27.06
Nov 1 2021,Samsung,27.18
Dec 1 2021,Samsung,26.93
Jan 1 2022,Samsung,27.18
Feb 1 2022,Samsung,27.68
Mar 1 2022,Samsung,28.22
Mar 1 2021,Apple,27.41
Apr 1 2021,Apple,27
May 1 2021,Apple,26.46
Jun 1 2021,Apple,26.35
Jul 1 2021,Apple,26.92
Aug 1 2021,Apple,26.42
Sep 1 2021,Apple,26.75
Oct 1 2021,Apple,28.21
Nov 1 2021,Apple,28.54
Dec 1 2021,Apple,29.24
Jan 1 2022,Apple,29.49
Feb 1 2022,Apple,28.29
Mar 1 2022,Apple,27.57
